protocol_type,service,src_bytes,dst_bytes,duration,bytes_ratio,total_bytes,bytes_per_second,label
2,2,480,517,8,0.9266409266409267,997,110.77777777777777,0
0,1,695,780,94,0.8898847631241997,1475,15.526315789473685,0
2,1,3018,700,21,4.30527817403709,3718,169.0,0
2,3,1435,375,4,3.8164893617021276,1810,362.0,0
0,0,560,1724,4,0.32463768115942027,2284,456.8,0
0,3,55,881,28,0.06235827664399093,936,32.275862068965516,0
2,1,184,183,53,1.0,367,6.796296296296297,0
1,3,608,308,41,1.9676375404530744,916,21.80952380952381,0
2,3,1681,1240,31,1.3545527800161161,2921,91.28125,0
2,1,479,88,5,5.382022471910112,567,94.5,0
2,2,773,1109,3,0.6963963963963964,1882,470.5,0
2,1,2223,355,0,6.24438202247191,2578,2578.0,1
0,2,2451,641,3,3.817757009345794,3092,773.0,0
2,1,243,263,43,0.9204545454545454,506,11.5,0
1,1,44,3441,67,0.012783265543288786,3485,51.25,0
0,1,364,1890,8,0.19249074563722898,2254,250.44444444444446,0
1,0,1190,2109,47,0.5639810426540285,3299,68.72916666666667,0
1,2,3018,163,6,18.402439024390244,3181,454.42857142857144,1
1,0,80,1474,8,0.05423728813559322,1554,172.66666666666666,0
1,1,28,613,7,0.04560260586319218,641,80.125,0
0,3,2155,984,1,2.1878172588832485,3139,1569.5,0
0,0,1378,196,6,6.99492385786802,1574,224.85714285714286,0
1,2,4859,995,14,4.878514056224899,5854,390.26666666666665,1
1,1,505,1965,15,0.2568667344862665,2470,154.375,0
0,0,537,249,11,2.148,786,65.5,0
0,3,189,212,21,0.8873239436619719,401,18.227272727272727,0
0,0,123,88,14,1.3820224719101124,211,14.066666666666666,0
2,2,864,248,105,3.4698795180722892,1112,10.49056603773585,1
2,0,453,613,49,0.737785016286645,1066,21.32,0
2,3,83,1430,80,0.058001397624039136,1513,18.679012345679013,0
1,3,2180,261,24,8.320610687022901,2441,97.64,1
2,2,221,776,34,0.28442728442728443,997,28.485714285714284,0
1,3,1380,522,5,2.638623326959847,1902,317.0,0
1,1,331,272,41,1.2124542124542124,603,14.357142857142858,0
2,3,1676,571,8,2.93006993006993,2247,249.66666666666666,0
1,1,126,147,4,0.8513513513513513,273,54.6,0
2,0,1410,816,1,1.7258261933904528,2226,1113.0,0
2,1,103,98,19,1.0404040404040404,201,10.05,0
0,1,592,1050,10,0.5632730732635585,1642,149.27272727272728,0
2,0,1324,156,129,8.433121019108281,1480,11.384615384615385,0
0,3,190,5038,8,0.03770589402659258,5228,580.8888888888889,1
2,1,336,1388,60,0.24190064794816415,1724,28.262295081967213,0
2,3,2000,337,11,5.9171597633136095,2337,194.75,1
0,0,2163,444,41,4.860674157303371,2607,62.07142857142857,0
0,2,45,240,32,0.18672199170124482,285,8.636363636363637,0
2,3,184,1165,24,0.15780445969125215,1349,53.96,0
1,3,124,383,16,0.3229166666666667,507,29.823529411764707,0
0,2,198,1125,33,0.17584369449378331,1323,38.911764705882355,0
1,2,3512,14,15,234.13333333333333,3526,220.375,0
1,0,802,116,23,6.854700854700854,918,38.25,0
1,3,631,363,26,1.7335164835164836,994,36.81481481481482,0
0,3,4164,92,9,44.774193548387096,4256,425.6,1
1,0,814,735,12,1.1059782608695652,1549,119.15384615384616,0
0,3,1082,41,0,25.761904761904763,1123,1123.0,0
1,1,404,1571,57,0.25699745547073793,1975,34.05172413793103,0
2,1,481,1146,42,0.41935483870967744,1627,37.83720930232558,0
2,1,902,194,6,4.625641025641026,1096,156.57142857142858,0
0,3,72,528,13,0.13610586011342155,600,42.857142857142854,0
2,1,295,480,16,0.6133056133056133,775,45.588235294117645,0
2,1,219,1032,12,0.21200387221684414,1251,96.23076923076923,0
1,0,16,410,48,0.038929440389294405,426,8.693877551020408,0
0,0,769,26,38,28.48148148148148,795,20.384615384615383,1
1,2,823,255,43,3.21484375,1078,24.5,0
1,2,484,502,70,0.9622266401590457,986,13.887323943661972,0
1,2,312,2935,27,0.10626702997275204,3247,115.96428571428571,0
1,2,1055,1703,28,0.619131455399061,2758,95.10344827586206,0
1,0,144,160,38,0.8944099378881988,304,7.794871794871795,0
1,0,731,1027,34,0.7110894941634242,1758,50.22857142857143,0
1,0,1461,2209,61,0.6610859728506787,3670,59.193548387096776,0
0,1,179,7,44,22.375,186,4.133333333333334,0
2,1,1399,1021,3,1.3688845401174168,2420,605.0,0
1,2,1430,491,79,2.9065040650406506,1921,24.0125,0
1,1,61,912,34,0.06681270536692223,973,27.8,0
1,3,18,744,4,0.024161073825503355,762,152.4,0
1,0,3647,3342,44,1.090936284774155,6989,155.3111111111111,1
1,2,214,272,13,0.7838827838827839,486,34.714285714285715,0
1,2,1726,1233,49,1.3987034035656403,2959,59.18,0
2,3,825,213,93,3.8551401869158877,1038,11.042553191489361,0
2,1,307,457,8,0.6703056768558951,764,84.88888888888889,0
1,2,139,2963,58,0.04689608636977058,3102,52.57627118644068,0
2,1,686,1162,44,0.5898538263112639,1848,41.06666666666667,0
0,1,523,303,33,1.7203947368421053,826,24.294117647058822,0
1,3,1200,772,14,1.5523932729624839,1972,131.46666666666667,0
0,2,2345,40,3,57.19512195121951,2385,596.25,1
0,1,1636,247,19,6.596774193548387,1883,94.15,0
1,1,320,1013,3,0.3155818540433925,1333,333.25,0
2,3,2111,675,20,3.1227810650887573,2786,132.66666666666666,0
0,3,1792,507,51,3.52755905511811,2299,44.21153846153846,0
1,1,2646,939,181,2.8148936170212764,3585,19.697802197802197,0
0,3,613,406,6,1.5061425061425062,1019,145.57142857142858,0
0,1,1463,21,6,66.5,1484,212.0,1
0,2,895,465,49,1.9206008583690988,1360,27.2,0
0,0,371,1859,18,0.19946236559139785,2230,117.36842105263158,0
2,3,5190,1553,74,3.33976833976834,6743,89.90666666666667,1
0,0,39,420,43,0.09263657957244656,459,10.431818181818182,0
0,1,177,17,40,9.833333333333334,194,4.7317073170731705,1
0,1,2230,809,3,2.753086419753086,3039,759.75,0
2,1,62,1081,1,0.05730129390018484,1143,571.5,0
0,0,2178,278,11,7.806451612903226,2456,204.66666666666666,1
0,1,1256,518,7,2.420038535645472,1774,221.75,0
2,3,37,3848,37,0.009612886464016628,3885,102.23684210526316,0
2,2,560,687,17,0.813953488372093,1247,69.27777777777777,0
2,2,1404,345,22,4.057803468208093,1749,76.04347826086956,0
0,3,874,789,50,1.1063291139240505,1663,32.6078431372549,0
2,2,2746,158,19,17.270440251572328,2904,145.2,0
2,0,2022,177,23,11.359550561797754,2199,91.625,0
0,1,404,2071,55,0.19498069498069498,2475,44.19642857142857,0
2,1,88,218,16,0.4018264840182648,306,18.0,0
0,1,2887,297,2,9.687919463087248,3184,1061.3333333333333,1
1,0,728,627,22,1.1592356687898089,1355,58.91304347826087,0
2,0,77,1839,25,0.04184782608695652,1916,73.6923076923077,0
1,0,1695,1216,21,1.3927691043549713,2911,132.3181818181818,0
0,3,2028,35,8,56.333333333333336,2063,229.22222222222223,0
2,0,1020,944,7,1.0793650793650793,1964,245.5,0
0,2,593,561,13,1.0551601423487544,1154,82.42857142857143,0
1,3,1085,516,5,2.0986460348162477,1601,266.8333333333333,0
0,3,1226,940,32,1.3028692879914985,2166,65.63636363636364,0
2,3,2235,174,28,12.771428571428572,2409,83.06896551724138,1
2,0,3120,3191,30,0.9774436090225563,6311,203.58064516129033,0
1,3,722,829,7,0.8698795180722891,1551,193.875,0
0,0,1601,364,8,4.3863013698630136,1965,218.33333333333334,1
2,0,3338,733,46,4.547683923705722,4071,86.61702127659575,1
1,3,163,195,35,0.8316326530612245,358,9.944444444444445,0
2,1,18,803,62,0.022388059701492536,821,13.031746031746032,0
2,1,2032,22,15,88.34782608695652,2054,128.375,0
0,3,217,333,23,0.6497005988023952,550,22.916666666666668,0
2,1,43,1101,40,0.03901996370235935,1144,27.902439024390244,0
0,2,174,1320,109,0.13171839515518546,1494,13.581818181818182,0
2,2,484,233,137,2.0683760683760686,717,5.195652173913044,0
1,0,247,620,213,0.3977455716586151,867,4.0514018691588785,0
2,1,364,601,66,0.6046511627906976,965,14.402985074626866,0
0,2,3700,437,30,8.447488584474886,4137,133.4516129032258,0
0,3,1218,207,0,5.855769230769231,1425,1425.0,0
1,1,1245,971,36,1.2808641975308641,2216,59.891891891891895,0
2,2,99,232,8,0.4248927038626609,331,36.77777777777778,0
